Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Tanzania,TZA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.6153956229594
Tanzania,TZA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,79.4028404975252
Tanzania,TZA,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..
Tanzania,TZA,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Tanzania,TZA,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..
Tanzania,TZA,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..
Tanzania,TZA,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..
Tanzania,TZA,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..
Tanzania,TZA,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.0636
Tanzania,TZA,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.0711
Tanzania,TZA,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,1.9009
Tanzania,TZA,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.003
Tanzania,TZA,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.1175
Tanzania,TZA,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,0.6417
Tanzania,TZA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,89.5229
Tanzania,TZA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.38340875927445
Tanzania,TZA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,133.2599
Tanzania,TZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Tanzania,TZA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Tanzania,TZA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Tanzania,TZA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..
Tanzania,TZA,"Children out of school, primary, female",SE.PRM.UNER.FE,620835
Tanzania,TZA,"Children out of school, primary",SE.PRM.UNER,1513859
Tanzania,TZA,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..
Tanzania,TZA,"Children out of school, primary, male",SE.PRM.UNER.MA,893024
Tanzania,TZA,Lower secondary school starting age (years),SE.SEC.AGES,14
Tanzania,TZA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,..
Tanzania,TZA,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,..
Tanzania,TZA,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,140
Tanzania,TZA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.713303767912503
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.879
Tanzania,TZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.118
Tanzania,TZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.625
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.16120720872912
Rwanda,RWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.81773274151854
Rwanda,RWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.3
Rwanda,RWA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,0.8
Rwanda,RWA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,30.7
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.6
Rwanda,RWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.2
Rwanda,RWA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98
Rwanda,RWA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..
Rwanda,RWA,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..
Rwanda,RWA,Age dependency ratio (% of working-age population),SP.POP.DPND,72.0525122623854
Rwanda,RWA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.40284499187885
Rwanda,RWA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,65.6496672705065
Rwanda,RWA,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..
Rwanda,RWA,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Rwanda,RWA,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..
Rwanda,RWA,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..
Rwanda,RWA,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..
Rwanda,RWA,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..
Rwanda,RWA,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.0114
Rwanda,RWA,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.0062
Rwanda,RWA,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,0.1189
Rwanda,RWA,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.0433
Rwanda,RWA,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.0088
Rwanda,RWA,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,0.1289
Rwanda,RWA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,8.2309
Rwanda,RWA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.602950839606975
Rwanda,RWA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1.1409
Rwanda,RWA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Rwanda,RWA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Rwanda,RWA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Rwanda,RWA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,4.72500407907676
Rwanda,RWA,"Children out of school, primary, female",SE.PRM.UNER.FE,75157
Rwanda,RWA,"Children out of school, primary",SE.PRM.UNER,150245
Rwanda,RWA,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..
Rwanda,RWA,"Children out of school, primary, male",SE.PRM.UNER.MA,75088
Rwanda,RWA,Lower secondary school starting age (years),SE.SEC.AGES,12
Rwanda,RWA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,..
Rwanda,RWA,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,..
Rwanda,RWA,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,120
Rwanda,RWA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.833339833311248
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.528
Rwanda,RWA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.237
Rwanda,RWA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.625
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.9000000000277
Niger,NER,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,8.3198637261773
Niger,NER,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.5
Niger,NER,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,0.5
Niger,NER,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,22.5
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.5
Niger,NER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.7
Niger,NER,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,66.1
Niger,NER,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,11.685591291668
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,10.2357443242293
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,13.1840383009336
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,10.8876343802807
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,12.1684627840131
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,10.6100286924024
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,11.3647721085088
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,28.6210846922771
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,13.0550868852459
Niger,NER,Age dependency ratio (% of working-age population),SP.POP.DPND,99.5107362854154
Niger,NER,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.08897162084439
Niger,NER,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,94.421764664571
Niger,NER,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..
Niger,NER,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Niger,NER,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..
Niger,NER,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..
Niger,NER,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..
Niger,NER,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..
Niger,NER,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.003
Niger,NER,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.0007
Niger,NER,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,0.1134
Niger,NER,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.0017
Niger,NER,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.0178
Niger,NER,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,0.3831
Niger,NER,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,41.3587
Niger,NER,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.63395796921876
Niger,NER,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,32.3585
Niger,NER,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Niger,NER,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Niger,NER,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Niger,NER,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,73.0452609742334
Niger,NER,"Children out of school, primary, female",SE.PRM.UNER.FE,933827
Niger,NER,"Children out of school, primary",SE.PRM.UNER,1800747
Niger,NER,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..
Niger,NER,"Children out of school, primary, male",SE.PRM.UNER.MA,866920
Niger,NER,Lower secondary school starting age (years),SE.SEC.AGES,13
Niger,NER,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,..
Niger,NER,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,..
Niger,NER,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,45
Niger,NER,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2.21447777796849
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.398
Niger,NER,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.47
Niger,NER,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,61.344
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.31882949523192
Nigeria,NGA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.15831410306673
Nigeria,NGA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,24.4
Nigeria,NGA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,8.7
Nigeria,NGA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,46.2
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.5
Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,27
Nigeria,NGA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89
Nigeria,NGA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..
Nigeria,NGA,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..
Nigeria,NGA,Age dependency ratio (% of working-age population),SP.POP.DPND,81.687287853566
Nigeria,NGA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.46504862743235
Nigeria,NGA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,76.2222392261337
Nigeria,NGA,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..
Nigeria,NGA,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Nigeria,NGA,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..
Nigeria,NGA,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..
Nigeria,NGA,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..
Nigeria,NGA,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..
Nigeria,NGA,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.0956
Nigeria,NGA,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.2075
Nigeria,NGA,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,1.8396
Nigeria,NGA,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.0071
Nigeria,NGA,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.6152
Nigeria,NGA,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,2.1471
Nigeria,NGA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,334.7699
Nigeria,NGA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.50019518631016
Nigeria,NGA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,560.3688
Nigeria,NGA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Nigeria,NGA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Nigeria,NGA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Nigeria,NGA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..
Nigeria,NGA,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Nigeria,NGA,"Children out of school, primary",SE.PRM.UNER,..
Nigeria,NGA,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..
Nigeria,NGA,"Children out of school, primary, male",SE.PRM.UNER.MA,..
Nigeria,NGA,Lower secondary school starting age (years),SE.SEC.AGES,12
Nigeria,NGA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,..
Nigeria,NGA,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,..
Nigeria,NGA,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,24
Nigeria,NGA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,4.21380749988724
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.079
Nigeria,NGA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,53.778
Nigeria,NGA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,54.375
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.36445074432608
Mozambique,MOZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.33335997379926
Mozambique,MOZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,6.9
Mozambique,MOZ,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,1.2
Mozambique,MOZ,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,16.9
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.2
Mozambique,MOZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5
Mozambique,MOZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.4
Mozambique,MOZ,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..
Mozambique,MOZ,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..
Mozambique,MOZ,Age dependency ratio (% of working-age population),SP.POP.DPND,91.3012310999481
Mozambique,MOZ,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.30497250592657
Mozambique,MOZ,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,85.9962585940215
Mozambique,MOZ,Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,..
Mozambique,MOZ,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..
Mozambique,MOZ,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,..
Mozambique,MOZ,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,..
Mozambique,MOZ,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..
Mozambique,MOZ,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.0615
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.016
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,2.7079
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0.004
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.0595
Mozambique,MOZ,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,0.26
Mozambique,MOZ,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,35.6836
Mozambique,MOZ,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.09270367451299
Mozambique,MOZ,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,69.4046
Mozambique,MOZ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Mozambique,MOZ,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Mozambique,MOZ,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Mozambique,MOZ,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,27.9836782532258
Mozambique,MOZ,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Mozambique,MOZ,"Children out of school, primary",SE.PRM.UNER,64247.3903273614
